Date#Trail,Num,Time(xx:xx),T (C),RH (%),Lum (lux),Behavior description,,,,PH (cm),PW (mm),Dis-Front,Dis-Left,Dis-Right,Dis-Back,Remark,,,,,,,,,,,,,,
09/25#01,TR#15,8:16,29.4,69,4700,"stay, leave 30 sec later",,,,37.6,28.89,40.19,42.26,10.77,97.57,,,,,,,,,,,,,,,
,TR#17,8:40,32.4,75.5,18100,"stay, immediately escape when close",,,,14.5,26.67,16.4,44.45,16.11,61.57,perch on several 枝條,,,,,,,,,,,,,,
,TR#16,9:13,-,-,-,-,,,,-,-,-,-,-,-,tag fallen,,,,,,,,,,,,,,
,TR#15,9:45,-,-,-,-,,,,-,-,-,-,-,-,tag fallen,,,,,,,,,,,,,,
,TR#13,10:03,33.4,74.9,4380,"stay, alarm",,,,4.5,13.57,37.1,21.51,47.26,14.7,"escape when discover, perch on several 枝條",,,,,,,,,,,,,,
,TR#18,10:12,32.3,63.8,15660~>,"stay, light exposed, slowly get down when sunlight bigger",,,,91.5,25.15,36.32,258,36.81,22.14,perch on 枝 + 葉*1,,,,,,,,,,,,,,
,TR#20,10:40,30.2,66.5,12270,"stay, light exposed",,,,15.7,47.83,12.54,29.85,33.45,21.88,perch on several 枝條,,,,,,,,,,,,,,
,TR#19,11:03,33.8,76.4,14300~>,"hide in 芒草, 除草之枯葉堆裡",,,,10,16.97,50.88,17.37,16.08,65.75,"basically on ground, 上方大範圍割草覆蓋",,,,,,,,,,,,,,
09/25#02,TR#19,15:12,-,-,-,-,,,,-,-,-,-,-,-,"tag fallen, same location as previous",,,,,,,,,,,,,,
,TR#18,15:31,28.2,74.8,2360,"alarm, escape when close",,,,50.7,51.14,240,218,19.72,17.52,tag fallen when escape,,,,,,,,,,,,,,
,TR#13,16:05,-,-,-,rolling when stuck by 枯枝 when 往下鑽,,,,-,-,-,-,-,-,tag fallen,,,,,,,,,,,,,,
,TR#20,16:20,-,-,-,-,,,,-,-,-,-,-,-,tag fallen,,,,,,,,,,,,,,
,TR#17,16:40,-,-,-,-,,,,-,-,-,-,-,-,tag fallen,,,,,,,,,,,,,,
09/25#03,TR#18,21:30,29.6,74.6,0,sleep,,,,50.8,12.65,110.61,6.18,0,69.67,09/26 rain until 15:00,,,,,,,,,,,,,,
09/26#01,TR#18,16:30,26.1,81,4220,stay,,,,43.3,149.16,23.83,43.84,110.65,23.04,raining until 15:00,,,,,,,,,,,,,,
09/26#02,TR#18,21:20,25.4,84.9,0,sleep,,,,62.8,42.08,194,30.67,>2m,243,-,,,,,,,,,,,,,,
09/27#01,TR#18,7:04,26.3,85,13130,"stay, half of head exposes light",,,,49.9,42.14,84.99,35.2,13.14,25.19,,,,,,,,,,,,,,,
09/27#02,TR#18,16:58,29.7,68,1955,"Stay, same 姿勢as sleep",,,,86.3,183.25,84.3,120,174,>2m,,,,,,,,,,,,,,,
09/27#03,TR#18,21:20,25.3,86.6,0,sleep,,,,70.8,19.79,245,12.29,226,341,,,,,,,,,,,,,,,
09/28#01,TR#21,14:31,31.2,74.9,12910,stay,,,,27,12.49,142,380,68.33,228,rain until 13:00,,,,,,,,,,,,,,
 ,TR#23,14:45,31.3,75.7,13360,stay,,,,45.6,46.51,26.96,27.09,50.93,49.3,,,,,,,,,,,,,,,
,TR#18,15:00,31.1,730,8080,stay,,,,123.7,60.87,15.59,19.03,25.48,54.14,,,,,,,,,,,,,,,
,TR#14,-,-,-,-,-,,,,-,-,-,-,-,-,tag fallen,,,,,,,,,,,,,,
,TR#22,15:25,30.7,8.05,5591,stay,,,,26.8,6.33,23.61,5.57,61.2,52.13,perch on 莖,,,,,,,,,,,,,,
,TR#25,15:46,,,,,,,,,,,,,,tag fallen,,,,,,,,,,,,,,
,TR#24,16:04,30.5,77.2,1168,"stay, alarm",,,,59.1,28.39,97.15,314,59.41,57.7,,,,,,,,,,,,,,,
09/28#02,TR#24,22:50,25.4,86.6,0,sleep,,,,754.3,30.48,348,83.01,31.49,443,,,,,,,,,,,,,,,
,TR#21,23:50,26.3,82.2,0,sleep,,,,76.9,18.83,960,33.17,66.29,200,,,,,,,,,,,,,,,
,TR#22,23:18,26.5,82.9,0,sleep,,,,78.7,45.7,24.14,56.96,35.34,29.2,,,,,,,,,,,,,,,
,TR#18,23:25,26.6,80.7,0,sleep,,,,157.5,24.37,>2m,208,22.98,423,,,,,,,,,,,,,,,
,TR#23,23:25,26.6,80.4,0,sleep,,,,133.2,19.17,>2m,141.33,132.5,490,,,,,,,,,,,,,,,
09/29#01,TR#22,7:15,26.4,89.3,16400~>,"move to loght 直射區, stay",,,,51.7,35.51,64.15,73.33,14.71,8.34,小幅移動，原棲點附近徘徊 ,,,,,,,,,,,,,,
,TR#23,7:27,30.7,74.8,6770~18660,"in shadow, 頭部前1/3 exposed light",,,,34.4,33.3,46.46,69.56,49.57,29.14,"close to TR#18, on 複合植物種上",,,,,,,,,,,,,,
,TR#18,7:28,31.3,73.7,>,"stay, 全身exposed light",,,,126.6,17.26,86.56,5.63,192,292,close to TR#23,,,,,,,,,,,,,,
,TR#21,7:57,33,66.7,4790,"move, alarm ",,,,28,35.57,38.71,111.02,78.03,115.57,藏於枯葉堆中(高26.5cm之層),,,,,,,,,,,,,,
,TR#24,8:10,36,59.2,809,"stay, 眼微閉",,,,67.7,12.52,111.98,21.96,81.62,65.89,"discover when escapeㄝ, 藏榆樹之密區中, hard to find +測量",,,,,,,,,,,,,,
09/29#02,TR#21,11:09,33.7,67.7,8930,"stay, alarmed, escape",,,,27.4,27.94,34.49,10.4,15.43,31.49,,,,,,,,,,,,,,,
,TR#24,11:23,36,64.1,889,"撥開枝葉才發現, then escape when discovered",,,,0,NA,NA,NA,NA,NA,"on the ground, 上方覆蓋茂密枯草層",,,,,,,,,,,,,,
,TR#22,11:29,37.5,58.2,10070,"採植物干擾到, then escape when discovered",,,,51,21.07,9.48,31.02,19,55.78,,,,,,,,,,,,,,,
,TR#23,11:39,37.8,61.8,2340,"stay, alarmed",,,,49.8,4.85,16.9,14.15,4.89,69.23,,,,,,,,,,,,,,,
